File Name,20240122_162754_CT029692_20220214.pcrd,,,,
Created By User,,,,,
Notes,,,,,
ID,,,,,
Run Started,01/23/2024 00:28:07 UTC,,,,
Run Ended,01/23/2024 03:34:05 UTC,,,,
Sample Vol,25,,,,
Lid Temp,105,,,,
Protocol File Name,Unknown.prcl,,,,
Plate Setup File Name,DefaultPlate.pltd,,,,
Base Serial Number,CT029692,,,,
Optical Head Serial Number,785BR17446,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,
,,,,,
Well group,All Wells,,,,
Amplification step,4,,,,
Melt step,8,,,,
,,,,,
,,,,,
Well,Fluor,Target,Content,Sample,Cq
A01,ROX,,Unkn,Pool5_Neg,NaN
A02,ROX,,Unkn,Pool5_Neg,NaN
A03,ROX,,Unkn,Pool5_Neg,NaN
A04,ROX,,Unkn,Pool5_Neg,NaN
A05,ROX,,Unkn,Pool5_Neg,NaN
A06,ROX,,Unkn,Pool5_Neg,NaN
A07,ROX,,Unkn,Pool5_Neg,NaN
A08,ROX,,Unkn,Pool5_Neg,NaN
A09,ROX,,Unkn,Pool5_Neg,NaN
A10,ROX,,Unkn,Pool5_Neg,NaN
A11,ROX,,Unkn,Pool5_Neg,NaN
A12,ROX,,Unkn,Pool5_Neg,NaN
B01,ROX,,Unkn,Pool5_10%,NaN
B02,ROX,,Unkn,Pool5_10%,NaN
B03,ROX,,Unkn,Pool5_10%,NaN
B04,ROX,,Unkn,Pool5_10%,NaN
B05,ROX,,Unkn,Pool5_10%,NaN
B06,ROX,,Unkn,Pool5_10%,NaN
B07,ROX,,Unkn,Pool5_10%,NaN
B08,ROX,,Unkn,Pool5_10%,NaN
B09,ROX,,Unkn,Pool5_10%,NaN
B10,ROX,,Unkn,Pool5_10%,NaN
B11,ROX,,Unkn,Pool5_10%,NaN
B12,ROX,,Unkn,Pool5_10%,NaN
C01,ROX,,Unkn,Pool5_5%,NaN
C02,ROX,,Unkn,Pool5_5%,NaN
C03,ROX,,Unkn,Pool5_5%,NaN
C04,ROX,,Unkn,Pool5_5%,NaN
C05,ROX,,Unkn,Pool5_5%,NaN
C06,ROX,,Unkn,Pool5_5%,NaN
C07,ROX,,Unkn,Pool5_5%,NaN
C08,ROX,,Unkn,Pool5_5%,NaN
C09,ROX,,Unkn,Pool5_5%,NaN
C10,ROX,,Unkn,Pool5_5%,NaN
C11,ROX,,Unkn,Pool5_5%,NaN
C12,ROX,,Unkn,Pool5_5%,NaN
D01,ROX,,Unkn,Pool5_2.5%,NaN
D02,ROX,,Unkn,Pool5_2.5%,NaN
D03,ROX,,Unkn,Pool5_2.5%,NaN
D04,ROX,,Unkn,Pool5_2.5%,NaN
D05,ROX,,Unkn,Pool5_2.5%,NaN
D06,ROX,,Unkn,Pool5_2.5%,NaN
D07,ROX,,Unkn,Pool5_2.5%,NaN
D08,ROX,,Unkn,Pool5_2.5%,NaN
D09,ROX,,Unkn,Pool5_2.5%,NaN
D10,ROX,,Unkn,Pool5_2.5%,NaN
D11,ROX,,Unkn,Pool5_2.5%,NaN
D12,ROX,,Unkn,Pool5_2.5%,NaN
E01,ROX,,NTC,Pool5_NTC,NaN
E02,ROX,,NTC,Pool5_NTC,NaN
E03,ROX,,NTC,Pool5_NTC,NaN
E04,ROX,,NTC,Pool5_NTC,NaN
E05,ROX,,NTC,Pool5_NTC,NaN
E06,ROX,,NTC,Pool5_NTC,NaN
E07,ROX,,NTC,Pool5_NTC,NaN
E08,ROX,,NTC,Pool5_NTC,NaN
E09,ROX,,NTC,Pool5_NTC,NaN
E10,ROX,,NTC,Pool5_NTC,NaN
E11,ROX,,NTC,Pool5_NTC,NaN
E12,ROX,,NTC,Pool5_NTC,NaN
A01,SYBR,Sox10,Unkn,Pool5_Neg,32.712891574438
A02,SYBR,Sox10,Unkn,Pool5_Neg,30.7843445418513
A03,SYBR,Sox10,Unkn,Pool5_Neg,32.9151259778764
